audio_id	sentence
220919-073442_nya_ddf_elicit_0	bambo wina wachikulire wovala zamalonda ku asia waima pafupi ndi taxi akupuma pa nthawi yopuma 
220919-073442_nya_ddf_elicit_1	anthu ena aimirira ena akuyenda ndipo wina akukwera njinga m kakhwalala koyalapo 
220919-073442_nya_ddf_elicit_2	azimayi aŵiri ndi kamtsikana akupuma ndi chakudya ndi zakumwa pafupi ndi chipika m munda waudzu pansi pa mitengo yamaluwa 
220919-073442_nya_ddf_elicit_3	wotsetsereka wavala suti yachikasu ndipo amatsetsereka kudutsa njanji yachikasu 
220919-073442_nya_ddf_elicit_4	magulu akuda ndi achikasu akuyesera kuti mpirawo ukhale mugoli 
220919-073442_nya_ddf_elicit_5	osewera a hockey achikazi asanu akuthamangira mpira kukamwa kwa zigoli 
220919-073442_nya_ddf_elicit_6	munthu wovala malaya ndi malaya akumanga chingwe chimene chaponyedwa m mbali mwa ngalawa 
220919-073442_nya_ddf_elicit_7	mwamuna wovala malaya akuda akuyendayenda pakati pa osewera otchinga mipanda 
220919-073442_nya_ddf_elicit_8	mwamuna wovala malaya akuda akuyendayenda pakati pa osewera otchinga mipanda 
220919-073442_nya_ddf_elicit_9	wopalasa skateboard akuwuluka mumlengalenga kuchokera panjira yokhala ndi sock yachikasu chakumbuyo kumbuyo 
220919-073442_nya_ddf_elicit_10	wosewera wa hockey amasenda kutsogolo ndi puck pomwe mdani akuwonera pafupi ndi ayezi rink 
220919-073442_nya_ddf_elicit_11	azimayi awiri achikulire mmodzi ali panjinga akulankhula kutsogolo kwa chikwangwani mumzinda wina akumuyang ana 
220919-073442_nya_ddf_elicit_12	gulu lalikulu la anthu okhala ndi akazi 2 kutsogolo wina atavala malaya achikasu ndi siketi ndipo wina ali ndi malaya ofiira ndi akabudula oyera 
220919-073442_nya_ddf_elicit_13	ana awiri amaponya masamba akufa m mwamba mozungulira 
220919-073442_nya_ddf_elicit_14	mnyamata wovala kabudula wabuluu wokhala ndi mizere yachikasu m mbali akudumphadumpha 
220919-073442_nya_ddf_elicit_15	mwana mu jekete ya buluu ndi yofiira akugwedeza mulu wa masamba 
220919-073442_nya_ddf_elicit_16	anthu asanu oyenda m mapiri amaima mozungulira mulu waukulu wa miyala paphiri kapena paphiri 
220919-073442_nya_ddf_elicit_17	munthu akuchita chinyengo pa skateboard pa skate park pomwe anthu akuwonera 
220919-073442_nya_ddf_elicit_18	anthu awiri m modzi wovala malaya oyera ndipo wina ovala malaya ofiira amamwa mowa limodzi ku bar 
220919-073442_nya_ddf_elicit_19	ana amavala zovala zofiira zachikasu zakuda ndi zobiriwira za fuko 
220919-073442_nya_ddf_elicit_20	munthu akugwira ntchito ndi chinachake m ngalawa yake yomwe ili pansi pa mitengo ina m mphepete mwa nyanja yomwe imayang anizana ndi mabwato ena m madzi pafupi ndi iye 
220919-073442_nya_ddf_elicit_21	kawonedwe kachikondi ka nyumba dzuŵa litalowa dzuwa litalowa ndi nyali zamitundu yamitundu yolowera dzuwa 
220919-073442_nya_ddf_elicit_22	pali silhouette ya munthu wokhala ndi chikwama ndi german shepard mu chisanu 
220919-073442_nya_ddf_elicit_23	atsikana awiri akugwedezera limodzi pa tayala 
220919-073442_nya_ddf_elicit_24	mwamuna wovala zoyera atadzikweza yekha pa mphete za olimpiki akugawanitsa 
220919-073442_nya_ddf_elicit_25	ambulansi yowonongeka ikukokedwa pabedi lagalimoto mumsewu 
220919-073442_nya_ddf_elicit_26	akuluakulu atatu ndi khanda akhala pa benchi yobiriwira moyang anizana ndi madzi ambiri tsiku loyera 
220919-073442_nya_ddf_elicit_27	mayi akugwira tsache pafupi ndi miyala yopiringizika 
220919-073442_nya_ddf_elicit_28	mayi wina wovala mathalauza ofiira ndi nsapato zakhala pa scooter yamtundu wa taupe 
220919-073442_nya_ddf_elicit_29	gulu la amuna omwe ali papulatifomu ya boti kapena makina opangira mafuta ovala ma jekete opulumutsa moyo ndi zipewa zoteteza 
220919-073442_nya_ddf_elicit_30	bambo wina akusewera masewera a pakompyuta okhala ndi ng oma zazikulu ndi timitengo m holo ya masewera kwinaku akuonedwa ndi mwamuna wina 
220919-073442_nya_ddf_elicit_31	mahatchi atatu ndi munthu m modzi amajambula padzuwa lolowera komanso thambo lalalanje 
220919-073442_nya_ddf_elicit_32	mayi wina atakhala mu bi ndege yoyera yomwe ili padenga la nyumba yosungiramo zinthu zakale zosungiramo zinthu zakale 
220919-073442_nya_ddf_elicit_33	munthu wavwala malaya ngakuti mambo ndi chifaniziro cha mwana ndi teddy bear 
220919-073442_nya_ddf_elicit_34	woyendetsa njinga akuyesera kunyenga kuti atsike pamasitepe apanja 
220919-073442_nya_ddf_elicit_35	gulu la anthu a fuko la asia likuyang ana munthu wosewera mumsewu m dera lamapiri lomwe lili ndi matabwa 
220919-073442_nya_ddf_elicit_36	kamtsikana kakang ono kovala malaya abuluu ndi kabudula wa buluu akugwedezeka pazingwe panja 
220919-073442_nya_ddf_elicit_37	mayi wovala mikanda yachimuna akuyang ana pansi pa mtsikana yemwe wakhala pafupi naye 
220919-073442_nya_ddf_elicit_38	mnyamata wovala malaya akuda ndi jeans atakhala pampando ndi agulugufe amitundu yosiyanasiyana pakhoma kumbuyo kwake 
220919-073442_nya_ddf_elicit_39	mayi akugwira ntchito yoluka nsalu yoluka kapeti yofiira yoyera ndi yabuluu 
220919-073442_nya_ddf_elicit_40	khamu la anthu laimirira mwachidwi m bwalo lomwe lili ndi nyumba kumbuyoko 
220919-073442_nya_ddf_elicit_41	kagalu kakang ono kowoneka bwino kabulauni kokhala ndi mchira wopiringizika atavala juzi ndi chipewa akuyima pamthunzi wampando wa m mphepete mwa nyanja wa utawaleza fupa lake lotafuna lili pafupi 
220919-073442_nya_ddf_elicit_42	munthu amene amachita masewera a m madzi amasiyanitsidwa ndi zida zake 
220919-073442_nya_ddf_elicit_43	munthu atakhala patebulo lachikasu lokhala ndi botolo lamadzi pamene mwana woyenda pansi amakhala pambali pake 
220919-073442_nya_ddf_elicit_44	mkazi atavala nsonga yobiriwira akutsetsereka ndi slide manja ake ali mumlengalenga 
220919-073442_nya_ddf_elicit_45	mtsikana wovala malaya abuluu akuwoneka wamantha ali ndi ana ena awiri kumbuyo kwake 
220919-073442_nya_ddf_elicit_46	mzimayi atavala nsonga yobiriwira komanso kamtsikana kopanda malaya akusewera ndi zidole zokhala patebulo losanjanjika 
220919-073442_nya_ddf_elicit_47	mwana wamng ono wopanda malaya ndi flops flops akukhala pa skateboard pakati pa msewu 
220919-073442_nya_ddf_elicit_48	ana angapo akusewera hockey pamagulu otsutsana ndikuyesera kugoletsa chigoli 
220919-073442_nya_ddf_elicit_49	mnyamata wovala suti akuyang ana kwambiri pamayendedwe ake ndi chizindikiro chamtendere m mlengalenga 
220917-073811_nya_ddf_elicit_0	escalator ndi mayi wazaka zapakati atavala malaya akuda akukwera mmwamba ndi mayi wachikulire atavala malaya ofiira akupita pansi 
220917-073811_nya_ddf_elicit_1	mwana akugona mwabata pansi pa bulangeti lofunda la buluu 
220917-073811_nya_ddf_elicit_2	amuna ovala zipewa zolimba komanso ma vests odzitetezera amakoka zingwe 
220917-073811_nya_ddf_elicit_3	mwamuna wa jekete yachikasu ndi chipewa choyera amaima pakati pa zomera zambiri 
220917-073811_nya_ddf_elicit_4	gulu la anthu ena atakhala ndipo ena atayima akuwoneka kuti akusangalala ndi phwando linalake popeza pali mitsinje ndi mabuloni ozungulira 
220917-073811_nya_ddf_elicit_5	agalu awiri pa chipale chofewa akusewera ndi leash yofiira 
220917-073811_nya_ddf_elicit_6	ana awiri ataimirira paudzu pamene galu woyera akuluma sweti yawo imodzi 
220917-073811_nya_ddf_elicit_7	agalu awiri amtundu umodzi akuthamanga mu chipale chofewa chomwe chakwirira udzu 
220917-073811_nya_ddf_elicit_8	anthu achilengedwe amayenda ndi maukonde ndi zikwama zokhala ndi mitengo kumanzere kwake 
220917-073811_nya_ddf_elicit_9	pali agalu awiri wina ndi wakuda ndipo wina ndi wabulauni akununkhizana 
220917-073811_nya_ddf_elicit_10	bambo akupanga chinyengo panjinga yake yobiriwira ya bmx popanda manja 
220917-073811_nya_ddf_elicit_11	wokwera pachipale chofewa wobiriwira wobiriwira akuchita kulumpha pampikisano 
220917-073811_nya_ddf_elicit_12	galu wofiirira woyera ndi wakuda amathamanga pamiyala 
220917-073811_nya_ddf_elicit_13	mwamuna wovala zakuda ndi mkazi wovala zoyera akumwetulira 
220917-073811_nya_ddf_elicit_14	mwamuna atakhala patebulo akuyang ana mkazi yemwe wavala chipewa cholumikizidwa ndi mpango kuti chizikulunga m chibwano chake ndipo mkaziyo akugwira ntchito yogulitsira chakudya chamatabwa 
220917-073811_nya_ddf_elicit_15	gwape ndi turkeys angapo pamodzi mu chipale chofewa 
220917-073811_nya_ddf_elicit_16	kamtsikana kakang ono ka tsitsi lofiirira kamakonda kudya pichesi 
220917-073811_nya_ddf_elicit_17	kamtsikana kena kovala malaya ofiira okhala ndi maapozi akudula kapepala komwe anajambulapo 
220917-073811_nya_ddf_elicit_18	mayi wachimwemwe wokhala ndi maluwa ambiri akuyenda m khamu lalikulu lodikirira kukwera sitima yapansi panthaka 
220917-073811_nya_ddf_elicit_19	mnyamata wovala mittens akukonzekera kuponya chipale chofewa 
220917-073811_nya_ddf_elicit_20	mnyamata wina wovala jekete yofiira yoyera ndi yabuluu komanso akabudula abuluu amakoka ngolo m dimba 
220917-073811_nya_ddf_elicit_21	mayi wamfupi aima pakati pa azibambo awiri aatali kutsogolo kwa sitolo yomwe mabizinesi akutha 
220917-073811_nya_ddf_elicit_22	wothamanga pa skateboarder akudumpha pamwamba pa mbiya yobiriwira 
220917-073811_nya_ddf_elicit_24	gulu la anthu likuyang ana masitima apamtunda 
220917-073811_nya_ddf_elicit_25	mwamuna ndi mkazi atayimilira limodzi mumsewu wotchingidwa ndi ziyala akujambulidwa 
220917-073811_nya_ddf_elicit_26	gulu la osewera mpira akupikisana atavala zofiira zoyera komanso zobiriwira 
220917-073811_nya_ddf_elicit_27	mayi wina wangochita sitiroko poika green pa bwalo la gofu ndipo mpira uli panjira yopita kuchibowo 
220917-073811_nya_ddf_elicit_28	kamwana kakang ono kovala nsonga yobiriwira ya manja aatali akugoneka mutu wake pa pilo 
220917-073811_nya_ddf_elicit_29	apolisi awiri achitetezo akufunsa mnyamata wovala ngati santa claus pamene wodutsa akuyang ana 
220917-073811_nya_ddf_elicit_30	mnyamata wovala jekete yofiira yolemera kwambiri akusewera ndi thomas the tank engine yomwe ili m sitolo yosungiramo mabuku 
220917-073811_nya_ddf_elicit_31	ana aang ono akugona atakhala pabedi akuseka pa tv 
220917-073811_nya_ddf_elicit_32	kamwana ka malaya amizeremizere pansi pa chibakuwa akusangalala kuthamangitsa thovu 
220917-073811_nya_ddf_elicit_33	mayi wachikulire wovala malaya akuda akutsanulira batter mu poto ya muffin 
220917-073811_nya_ddf_elicit_34	mnyamata wina yemwe wavala malaya otuwa ndi buluku lakuda akusewera mpira wakuda ndi mapini awiri okha kuti agwetse 
220917-073811_nya_ddf_elicit_35	munthu wovala bwino akupala chipale chofewa kunja kwa nyumba 
220917-073811_nya_ddf_elicit_36	bambo wina aimirira pabwalo la mafunde n kutsika ndi mafunde aakulu 
220917-073811_nya_ddf_elicit_37	wosewera mpira wa basketball akuwombera pomwe wosewera wina akufuna kutsekereza kuwombera kwake 
220917-073811_nya_ddf_elicit_38	woyimba ng oma wovala chipewa chofiyira ndi malaya akuda akumenya ng oma pa zida zake panthawi yosewera ndi anzake oimba 
220917-073811_nya_ddf_elicit_39	wosewerera mu zoyera akugwetsa mpira pamene wosewera wa lalanje amayesa kumuletsa 
220917-073811_nya_ddf_elicit_40	wosewera mpira wa dazi wayimirira pabwalo mpirawo m dzanja lake lamanja 
220917-073811_nya_ddf_elicit_41	munthu wovala zovala zamkati zagolide akumenyana ndi munthu wina pamaso pa khamu lalikulu la anthu 
220917-073811_nya_ddf_elicit_42	maonekedwe a munthu amaoneka akusodza dzuwa likamalowa pamadzi 
220917-073811_nya_ddf_elicit_43	bambo wina wovala chipewa chobiriwira malaya obiriwira mathalauza abulauni ndi apuloni wobiriwira akugudubuza chikondamoyo chachikulu 
220917-073811_nya_ddf_elicit_44	oyenda panyanja awiri akugwira mafunde aakulu omwewo panyanja 
220917-073811_nya_ddf_elicit_45	agalu awiri akuda amathamanga m chipale chofewa m munda wa udzu wouma 
220917-073811_nya_ddf_elicit_46	anyamata awiri ali paulendo wozizira nthawi ya khrisimasi mwina kukaimba nyimbo 
220917-073811_nya_ddf_elicit_47	mtsikana amamwa mowa ndi mnyamata wovala bereti ndipo wina atavala chipewa cha chigaza pa bar 
220907-110426_nya_285_elicit_0	mzibambo akudonsa telera ndi galimoto laling ono looneka ngati talakita 
220907-110426_nya_285_elicit_1	mnyamata wamng ono ali mdzenje lacikasu wavala malaya acikasu 
220907-110426_nya_285_elicit_2	mzimai omanga tsitsi zopomba kumbuyo wavala malaya a bulauni ndi kabudula wa jinzi wa buluwu akuika cinthu kumpando wakumbuyo wagalimoto 
220907-110426_nya_285_elicit_3	kamnyamata koneka kamzungu kovala malaya ofira ndi kabudula wa buluwu wakhala pasituli akuyamba kupaka utoto pacojambulira zolemba ndi citsulo copakila utoto 
220907-110426_nya_285_elicit_4	mnyamata wamng ono akumwetulira pamene akusewera pamadzi mopolika 
220907-110426_nya_285_elicit_5	mtsikana wavala delesi la bulauni akuyenda mmaudzu a msipu mumpanda wansimbi 
220907-110426_nya_285_elicit_6	azimai awiri mmodzi ovala malaya a buluwu winayo ovala malaya amizere oyera ndi ofiira akugula zinthu pa sitolo 
220907-110426_nya_285_elicit_7	mwana mzungu wamuna ndi tsitsi zazitali ovala malaya ofiira akupaka utoto ndi makalayoni panja ndi wamkulu 
220907-110426_nya_285_elicit_8	mtsikana ovala malaya aafupi offira ndi kabudula alibe nsapato akuyenda poimitsa magalimoto poyandikana ndi gulu lamasitolo 
220907-110426_nya_285_elicit_9	mzimai wacikulire wakhala pafupi ndi kamtengo ka khrisimisi atagwirira mphaso yosafundika ali ovala duku kumutu kwake 
220907-110426_nya_285_elicit_10	azimai awiri ali pabwalo ndi tswanda kutola zipatso 
220907-110426_nya_285_elicit_11	azimai awiri akusewera motimbana ndi mendo mzimai ovala zofiira akuvikha cibaka kucokera kwa mzimai winayo 
220907-110426_nya_285_elicit_12	alendo azokopewa akuyenda pakati nyumba zambiri yakale 
220907-110426_nya_285_elicit_13	galu oyera ndi kuda ndi kampira kofiira waimilira pa gombe lamcenga 
220907-110426_nya_285_elicit_14	azibambo awiri ndi azimai awirinso ali mcipinda cocezera kusewera masewera a kanema roki bandi 
220907-110426_nya_285_elicit_15	mtsikana ovala magalasi adzuwa wagwirira lamya lake kuti ajambule cithunzi cacinthu 
220907-110426_nya_285_elicit_16	mzimai wavala jinzi ndi covala copangidwa ndi khadi bokosi kuoneka ngati copangidwa camaganizo a wall e 
220907-110426_nya_285_elicit_17	gulu la azibambo ndi azimai akukambirana mcipinda codyeramo 
220907-110426_nya_285_elicit_18	mtsikana mzungu wakhala mbala pafupi ndi azibambo angapo amene sakumuika nzeru ndipo niosakodwa 
220907-110426_nya_285_elicit_19	mkwati ndi mkwatibwi ongo kwatirana tsopano akujuwa keke lao lacikwati polowera ndi nsalu zozungulira makosi ao 
220907-110426_nya_285_elicit_20	azisogoleri aumwera amuna anai akukonzekera kugwira azisogoleri aumwera acikazi amene angowaponya mmwamba 
220907-110426_nya_285_elicit_21	gulu la anthu lavala zovala zamitundu osakaniza pamene akucita sewero 
220907-110426_nya_285_elicit_22	mwana wamng ono osekelera ndi tsitsi zazitali zoponyongoka wakhala pagome atagwirira kapu yomwera ya msipu 
220907-110426_nya_285_elicit_23	munthu waimilira pamwamba pa miyala ndi mtambo kumbuyo 
220907-110426_nya_285_elicit_25	mzibambo waku asia akusewenzetsa citsulo coocherera pabolodi la msipu lazamagetsi atakhala pagome la mkowa 
220907-110426_nya_285_elicit_26	oimba citsulo coimbira ca cingwe ndi oimbitsa panyali yowara mozunguliridwa ndi mdima 
220907-110426_nya_285_elicit_27	anyamata aciyera atali atali kommanso bambo wina wacifilika ndi ameleka akuphika soseji pacophikira 
220907-110426_nya_285_elicit_28	mzimai wamng ono wakhala pagome kumene kuoneka ngati kocezera kumbuyo kwa nyumba wagwira khanda kumupatsa botolo olo cooneka ngati telo pamene akumwetulita ku kamera 
220907-110426_nya_285_elicit_29	mzimai wakhala ndi mwana akuwerenga buku lalikulu la buluwu 
220907-110426_nya_285_elicit_30	mzibambo ovala jinzi ya buluwu ndi malaya akuda akulankhula ndi mzibambo ovala kabudula oyera atakhala pabwalo pamipando opinda pa khonde 
220907-110426_nya_285_elicit_31	azibambo awiri mmodzi ovala malaya a mkowa ndi kabudula oyera winayo ovala malaya amizere a buluwu magalasi ndi ndebvu alikudya pabwalo ndi mzimai wina 
220907-110426_nya_285_elicit_32	mwana ovala zovala zaku hawayi walumpha ndi kuimilira pabwalo pafupi ndi mpanda komanso nyumba 
220907-110426_nya_285_elicit_33	anyamata awiri ali mnkhalango mmodzi waimilira pafupi ndi mtengo ndipo winayo waimilira pagome la pikiniki ndi bwalo losewerera kumbuyo kwao 
220907-110426_nya_285_elicit_34	anthu kumnvera bwino kunyanja ya mcenga pafupi ndi madzi pali mtengo wamaonekedwe oseketsa mnyanja 
220907-110426_nya_285_elicit_35	mzibambo ovala malaya ofiira akukonza khwichini yake kukonza cipupa kumbuyo pamene azaika kaunta yake 
220907-110426_nya_285_elicit_36	mnyamata ovala zovala zonyaira za buluwu wayamba kupindamuka mmadzi opindamulikira 
220907-110426_nya_285_elicit_37	chilisha ovala za buluwu akuyesa kuti asataike kucoka pa hachi 
220907-110426_nya_285_elicit_38	kamnyamata kakang ono kakucoka pamadzi padziwe losambira 
220907-110426_nya_285_elicit_39	mnyamata wamng ono ovala ma hedifoni ndi maikolofoni akuseka ndi mnyamata wamkulu ovala malaya a msipu akuyang ana pa kanema ka kopyuta 
220907-110426_nya_285_elicit_40	mnyamata wamng ono ovala malaya a buluwu akuika dothi mkamwa mwake 
220907-110426_nya_285_elicit_41	azimai asanu ndi mmodzi aimilira mmbwalo kuyembekeza nthawi yao yosewera 
220907-110426_nya_285_elicit_42	mzibambo ovala cisote cofiira wakhala pansi akupanga zoluka 
220907-110426_nya_285_elicit_43	azimai awiri acifilika ndi ameleka aimilira mumzinda waukulu atavala masiketi aafupi wina yoyera wina ya buluwu 
220907-110426_nya_285_elicit_44	mtsikana wamng ono ovala zofiira akulumpha pokhota mmasewera a ana 
220907-110426_nya_285_elicit_45	mwana akulumpha kucoka ku bedi ina kupitanso ku bedi ina mcipinda cimodzi 
220907-110426_nya_285_elicit_46	mtsikana wamng ono wa tsitsi za bulauni akusewera ndi baluni yaikulu mdzenje 
220907-110426_nya_285_elicit_47	mzimai akuomba mmanja pamene akuthamanaga kutsogolo kwa galu wa bulauni akuthamanga 
220907-110426_nya_285_elicit_48	bambo ndi mai akupumula ndi mwana pakati pa mitengo 
220907-110426_nya_285_elicit_49	mzibambo ovala malaya a buluwu wabapha cola cake kumbuyo ndipo mzimai ovala delesi lakuda onyamula kabokosi ali kusimbirana kwa tsimitsimi 
220917-070945_nya_ddf_elicit_0	mwana wamng ono wovala mathalauza abuluu akuthawa moto chakuseri 
220917-070945_nya_ddf_elicit_1	wosewera mpira waima ndi mpira kumbali pamene osewera ena akukwera mubwalo 
220917-070945_nya_ddf_elicit_2	ana atatu amaima pampando kusonyeza malo oyamba achiwiri ndi achitatu 
220917-070945_nya_ddf_elicit_3	agalu awiri oyera ofanana ndi mawanga ofiirira amalimbana pa mchenga wakuda wa jeti 
220917-070945_nya_ddf_elicit_4	mwana wovala zovala zofiira ndi zakuda zachisanu akubisala kuseri kwa linga la matalala 
220917-070945_nya_ddf_elicit_5	azimayi awiri ovala madiresi ndi zidendene akuyang ana pansi pa magetsi olendewera pamsewu 
220917-070945_nya_ddf_elicit_6	bakha woyera akutambasula mapiko ake atakhala pamadzi 
220917-070945_nya_ddf_elicit_7	mtsikana akuyang ana pa bolodi lake ndikulingalira zomwe angachite 
220917-070945_nya_ddf_elicit_8	mayi wina ali m khichini akuyeretsa mapazi ake pa choduladula ndi thaulo lofiira kapena epuloni yofiira mwamuna wake ataima pamenepo 
220917-070945_nya_ddf_elicit_9	wopulumutsa anthu wokhala ndi chipewa ndi kabudula wofiira atakhala panjanji akuyang ana madzi 
220917-070945_nya_ddf_elicit_10	bambo wina wovala malaya ofiirira akujambula vidiyo mayi wina atavala malaya abuluu amene wakhala mumsewu atabisa nkhope yake 
220917-070945_nya_ddf_elicit_11	munthu wandevu wakhala ali ndi maso otseka ndipo pakamwa pake pampando wandege 
220917-070945_nya_ddf_elicit_12	ndikhala liti kutsogolo chifukwa ndimadana nalo lamba 
220917-070945_nya_ddf_elicit_13	anyamata awiri ovala malaya akukwera kumbuyo kwa boti ndi siketi yalalanje 
220917-070945_nya_ddf_elicit_14	galu wakuda ndi wakhungu wokhala ndi chinthu mkamwa mu chipale chofewa 
220917-070945_nya_ddf_elicit_15	kutsekeka kwa nkhope ya galu woyera atanyamula ndodo mkamwa mwake 
220917-070945_nya_ddf_elicit_16	ana anayi akudumpha m dziwe losambira awiri okha atavala mapiko amadzi 
220917-070945_nya_ddf_elicit_17	ana anayi ovala mwansangala amakhala pafupi ndi khoma la simenti atakutidwa ndi bulangeti labuluu 
220917-070945_nya_ddf_elicit_18	wokwera miyala atavala suti ya santa akulendewera pa chingwe cha nyali za khrisimasi 
220917-070945_nya_ddf_elicit_19	gulu la anthu okhala m tauni onse akuyang ana mbali imodzi 
220917-070945_nya_ddf_elicit_20	bambo atakhala pa sofa atagwira mwana wawo wamkazi ndi mwana wawo wamkazi akumwetulira ndi kamera 
220917-070945_nya_ddf_elicit_21	bambo wina wovala jekete lofiira ali pamphambano atanyamula chikwama m dzanja lake lamanja pamene ma taxi akudutsa mumsewu 
220917-070945_nya_ddf_elicit_22	mayi wina wachikulire akuyenda m njira atanyamula matumba awiri oyera 
220917-070945_nya_ddf_elicit_23	mwamuna wooneka wosangalala watsitsi lalitali wovala magalasi m maso ndi zovala zokongola kwambiri ndi chipewa waima kutsogolo kwa makwerero 
220917-070945_nya_ddf_elicit_24	agalu awiri akuda akuthamanga pa chipale chofewa akuluma chinthu chofiira ndi chalalanje 
220917-070945_nya_ddf_elicit_25	kabaku akuthamangitsa khoswe pamene akuthawa mu udzu 
220917-070945_nya_ddf_elicit_26	ana awiriwa ndi mwana wovala malaya apinki azunguliridwa ndi zoseweretsa 
220917-070945_nya_ddf_elicit_27	anthu atatu atakhala mozungulira tebulo akuyang ana mayi wina akugwedeza madzi obiriwira 
220917-070945_nya_ddf_elicit_28	bambo wina wachikulire atavala magalasi abuluu m mutu mwake ataima pafupi ndi gulu la anthu ena atavala zida zosambira 
220917-070945_nya_ddf_elicit_29	amuna ndi akazi ovala masuti osamba aima pafupi ndi dziwe pamene wosambira wina ali m madzi 
220917-070945_nya_ddf_elicit_30	mwamuna wina watsitsi lakuda wovala malaya abuluu ndi thalauza lofiirira wakhala pampando m chipinda chokhala ndi matailosi pakhoma 
220917-070945_nya_ddf_elicit_31	galu woyera wokhala ndi makutu ofiirira akudumpha galu woyera akuthamanga kuchokera pamenepo 
220917-070945_nya_ddf_elicit_32	mwamuna wina wovala malaya abuluu akugwira mutu wake pamene akulankhula ndi akazi awiri panja 
220917-070945_nya_ddf_elicit_33	anthu ambiri ovala zovala zozizira amakhala odzaza mkati mwa sitima yapansi panthaka 
220917-070945_nya_ddf_elicit_34	mayi wosavala nsapato akugwada mokonzeka panjira yothamangira 
220917-070945_nya_ddf_elicit_35	mnyamata womangirira thabwa kumapazi amachita chinyengo atagwira chingwe 
220917-070945_nya_ddf_elicit_36	mwamuna atakhala pampando atanyamula mwana atazunguliridwa ndi atsikana atatu 
220917-070945_nya_ddf_elicit_37	mwamuna ndi mkazi wake atavala makhoti zipewa komanso masikhafu ali pachipale chofewa 
